age,job,marital,education,default,balance,housing,loan,contact,duration,campaign,pdays,previous,poutcome,deposit,contact_date
59,admin.,married,secondary,0,2343,1,0,unknown,1042,1,-1,0,unknown,1,2023-05-05
56,admin.,married,secondary,0,45,0,0,unknown,1467,1,-1,0,unknown,1,2023-05-05
41,technician,married,secondary,0,1270,1,0,unknown,1389,1,-1,0,unknown,1,2023-05-05
55,services,married,secondary,0,2476,1,0,unknown,579,1,-1,0,unknown,1,2023-05-05
54,admin.,married,tertiary,0,184,0,0,unknown,673,2,-1,0,unknown,1,2023-05-05
42,management,single,tertiary,0,0,1,1,unknown,562,2,-1,0,unknown,1,2023-05-05
56,management,married,tertiary,0,830,1,1,unknown,1201,1,-1,0,unknown,1,2023-05-06
60,retired,divorced,secondary,0,545,1,0,unknown,1030,1,-1,0,unknown,1,2023-05-06
37,technician,married,secondary,0,1,1,0,unknown,608,1,-1,0,unknown,1,2023-05-06
28,services,single,secondary,0,5090,1,0,unknown,1297,3,-1,0,unknown,1,2023-05-06
38,admin.,single,secondary,0,100,1,0,unknown,786,1,-1,0,unknown,1,2023-05-07
30,blue-collar,married,secondary,0,309,1,0,unknown,1574,2,-1,0,unknown,1,2023-05-07
29,management,married,tertiary,0,199,1,1,unknown,1689,4,-1,0,unknown,1,2023-05-07
46,blue-collar,single,tertiary,0,460,1,0,unknown,1102,2,-1,0,unknown,1,2023-05-07
31,technician,single,tertiary,0,703,1,0,unknown,943,2,-1,0,unknown,1,2023-05-08
35,management,divorced,tertiary,0,3837,1,0,unknown,1084,1,-1,0,unknown,1,2023-05-08
32,blue-collar,single,primary,0,611,1,0,unknown,541,3,-1,0,unknown,1,2023-05-08
49,services,married,secondary,0,-8,1,0,unknown,1119,1,-1,0,unknown,1,2023-05-08
41,admin.,married,secondary,0,55,1,0,unknown,1120,2,-1,0,unknown,1,2023-05-08
49,admin.,divorced,secondary,0,168,1,1,unknown,513,1,-1,0,unknown,1,2023-05-08
28,admin.,divorced,secondary,0,785,1,0,unknown,442,2,-1,0,unknown,1,2023-05-08
43,management,single,tertiary,0,2067,1,0,unknown,756,1,-1,0,unknown,1,2023-05-08
43,management,divorced,tertiary,0,388,1,0,unknown,2087,2,-1,0,unknown,1,2023-05-08
43,blue-collar,married,primary,0,-192,1,0,unknown,1120,2,-1,0,unknown,1,2023-05-08
37,unemployed,single,secondary,0,381,1,0,unknown,985,2,-1,0,unknown,1,2023-05-08
35,blue-collar,single,secondary,0,40,1,0,unknown,617,4,-1,0,unknown,1,2023-05-09
31,technician,single,tertiary,0,22,1,0,unknown,483,3,-1,0,unknown,1,2023-05-09
43,blue-collar,single,secondary,0,3,1,0,unknown,929,3,-1,0,unknown,1,2023-05-09
31,admin.,married,secondary,0,307,1,0,unknown,538,1,-1,0,unknown,1,2023-05-09
28,blue-collar,single,secondary,0,759,1,0,unknown,710,1,-1,0,unknown,1,2023-05-09
32,blue-collar,married,secondary,1,-1,1,0,unknown,653,1,-1,0,unknown,1,2023-05-09
60,technician,married,primary,0,65,1,0,unknown,1028,2,-1,0,unknown,1,2023-05-09
26,blue-collar,single,secondary,0,82,1,0,unknown,654,1,-1,0,unknown,1,2023-05-09
40,blue-collar,married,secondary,0,10,1,0,unknown,1692,2,-1,0,unknown,1,2023-05-09
33,blue-collar,divorced,primary,0,390,1,0,unknown,665,2,-1,0,unknown,1,2023-05-09
32,management,single,tertiary,0,311,0,0,unknown,757,2,-1,0,unknown,1,2023-05-12
35,blue-collar,married,primary,0,414,0,0,unknown,504,4,-1,0,unknown,1,2023-05-13
33,management,divorced,secondary,0,5,1,0,unknown,1346,1,-1,0,unknown,1,2023-05-13
38,management,married,tertiary,0,119,1,0,unknown,568,4,-1,0,unknown,1,2023-05-13
23,entrepreneur,single,primary,0,4,1,0,unknown,395,2,-1,0,unknown,1,2023-05-13
60,blue-collar,married,primary,0,1262,1,1,unknown,1015,1,-1,0,unknown,1,2023-05-13
48,management,married,tertiary,0,1949,1,0,unknown,683,2,-1,0,unknown,1,2023-05-13
45,entrepreneur,divorced,tertiary,0,-395,1,0,unknown,470,1,-1,0,unknown,1,2023-05-13
36,blue-collar,married,secondary,0,1165,1,0,unknown,1001,4,-1,0,unknown,1,2023-05-13
52,management,married,unknown,0,2240,1,0,unknown,845,1,-1,0,unknown,1,2023-05-13
35,blue-collar,divorced,primary,0,300,1,0,unknown,945,2,-1,0,unknown,1,2023-05-13
43,technician,married,secondary,0,3285,1,0,unknown,1721,2,-1,0,unknown,1,2023-05-13
52,housemaid,married,secondary,0,3923,1,0,unknown,942,3,-1,0,unknown,1,2023-05-14
53,technician,divorced,primary,0,1443,1,0,unknown,476,1,-1,0,unknown,1,2023-05-14
48,blue-collar,divorced,primary,0,24,1,0,unknown,832,1,-1,0,unknown,1,2023-05-14
41,blue-collar,single,primary,0,1618,1,0,unknown,1553,1,-1,0,unknown,1,2023-05-14
39,management,divorced,tertiary,0,517,1,1,unknown,1328,1,-1,0,unknown,1,2023-05-14
59,retired,married,secondary,0,1521,1,1,unknown,1125,2,-1,0,unknown,1,2023-05-14
41,blue-collar,married,secondary,0,2823,1,0,unknown,858,1,-1,0,unknown,1,2023-05-14
48,blue-collar,married,secondary,0,1405,1,0,unknown,629,2,-1,0,unknown,1,2023-05-14
40,admin.,married,secondary,0,1535,1,0,unknown,704,1,-1,0,unknown,1,2023-05-14
48,blue-collar,married,secondary,0,1596,1,0,unknown,760,1,-1,0,unknown,1,2023-05-14
60,retired,married,primary,0,1542,1,0,unknown,930,1,-1,0,unknown,1,2023-05-14
40,technician,single,unknown,0,3652,1,0,unknown,1028,2,-1,0,unknown,1,2023-05-14
57,technician,married,tertiary,0,-1,0,0,unknown,850,2,-1,0,unknown,1,2023-05-14
51,blue-collar,married,secondary,0,7180,1,0,unknown,927,1,-1,0,unknown,1,2023-05-14
41,blue-collar,divorced,secondary,0,5291,1,0,unknown,1423,3,-1,0,unknown,1,2023-05-14
41,blue-collar,married,secondary,0,1384,1,0,unknown,1162,4,-1,0,unknown,1,2023-05-15
52,blue-collar,divorced,primary,0,-191,1,0,unknown,755,1,-1,0,unknown,1,2023-05-15
59,blue-collar,married,primary,0,320,1,0,unknown,695,1,-1,0,unknown,1,2023-05-15
44,blue-collar,married,unknown,0,146,1,0,unknown,483,1,-1,0,unknown,1,2023-05-15
49,unknown,married,primary,0,341,1,1,unknown,520,2,-1,0,unknown,1,2023-05-15
40,services,married,primary,0,-9,1,0,unknown,920,2,-1,0,unknown,1,2023-05-15
41,admin.,married,primary,0,-306,1,0,unknown,500,1,-1,0,unknown,1,2023-05-15
44,technician,married,tertiary,0,4580,1,0,unknown,911,2,-1,0,unknown,1,2023-05-15
60,services,single,primary,0,313,1,0,unknown,920,2,-1,0,unknown,1,2023-05-15
29,management,married,tertiary,0,10576,0,0,unknown,1224,2,-1,0,unknown,1,2023-05-15
41,retired,divorced,primary,0,-233,1,0,unknown,1156,2,-1,0,unknown,1,2023-05-15
41,blue-collar,married,primary,0,2453,1,0,unknown,1052,1,-1,0,unknown,1,2023-05-15
42,technician,single,secondary,0,1364,1,0,unknown,1867,6,-1,0,unknown,1,2023-05-15
36,services,single,unknown,0,281,1,0,unknown,515,1,-1,0,unknown,1,2023-05-16
39,technician,married,tertiary,0,94,1,1,unknown,813,1,-1,0,unknown,1,2023-05-16
31,self-employed,single,tertiary,0,144,1,0,unknown,676,1,-1,0,unknown,1,2023-05-16
26,blue-collar,married,secondary,0,246,1,0,unknown,1143,3,-1,0,unknown,1,2023-05-16
31,blue-collar,married,secondary,0,92,1,0,unknown,688,1,-1,0,unknown,1,2023-05-16
29,admin.,single,secondary,0,163,1,1,unknown,803,1,-1,0,unknown,1,2023-05-16
37,services,divorced,secondary,0,49,1,0,unknown,619,2,-1,0,unknown,1,2023-05-16
33,blue-collar,single,secondary,0,-416,1,0,unknown,767,2,-1,0,unknown,1,2023-05-16
24,technician,single,secondary,0,409,1,0,unknown,912,1,-1,0,unknown,1,2023-05-16
50,admin.,divorced,secondary,0,363,1,0,unknown,1340,1,-1,0,unknown,1,2023-05-16
27,technician,single,tertiary,0,3706,1,0,unknown,897,1,-1,0,unknown,1,2023-05-16
54,management,single,tertiary,0,4393,1,0,unknown,1297,3,-1,0,unknown,1,2023-05-16
30,technician,single,secondary,0,863,1,0,unknown,1193,5,-1,0,unknown,1,2023-05-16
34,blue-collar,married,primary,0,695,1,1,unknown,1064,4,-1,0,unknown,1,2023-05-16
37,management,single,secondary,0,792,1,0,unknown,1187,4,-1,0,unknown,1,2023-05-16
41,admin.,single,secondary,0,1020,1,0,unknown,882,1,-1,0,unknown,1,2023-05-19
47,blue-collar,married,secondary,0,863,1,0,unknown,943,2,-1,0,unknown,1,2023-05-19
31,admin.,married,secondary,0,97,1,0,unknown,607,1,-1,0,unknown,1,2023-05-19
31,blue-collar,married,secondary,0,754,1,0,unknown,1022,4,-1,0,unknown,1,2023-05-19
43,services,divorced,secondary,0,1040,1,0,unknown,552,3,-1,0,unknown,1,2023-05-19
37,management,divorced,tertiary,0,122,1,0,unknown,1622,2,-1,0,unknown,1,2023-05-19
30,technician,single,tertiary,0,880,1,1,unknown,967,6,-1,0,unknown,1,2023-05-19
41,technician,married,secondary,0,501,1,0,unknown,579,5,-1,0,unknown,1,2023-05-19
36,blue-collar,married,secondary,0,4438,1,0,unknown,446,1,-1,0,unknown,1,2023-05-20
35,blue-collar,divorced,secondary,0,0,1,0,unknown,1205,1,-1,0,unknown,1,2023-05-20
29,services,single,secondary,0,271,1,0,unknown,1882,2,-1,0,unknown,1,2023-05-20
35,blue-collar,married,primary,0,102,1,0,unknown,1334,1,-1,0,unknown,1,2023-05-20
31,blue-collar,married,secondary,0,2,1,0,unknown,182,2,-1,0,unknown,1,2023-05-20
35,services,married,secondary,0,4170,1,0,unknown,1777,1,-1,0,unknown,1,2023-05-20
34,technician,single,secondary,0,85,1,0,unknown,1182,4,-1,0,unknown,1,2023-05-20
31,admin.,single,secondary,0,431,1,1,unknown,1045,1,-1,0,unknown,1,2023-05-20
44,technician,divorced,secondary,0,982,1,0,unknown,650,3,-1,0,unknown,1,2023-05-20
36,blue-collar,married,primary,0,408,1,1,unknown,1063,2,-1,0,unknown,1,2023-05-20
35,blue-collar,married,unknown,0,4822,1,0,unknown,843,2,-1,0,unknown,1,2023-05-20
41,blue-collar,married,primary,0,1250,1,0,unknown,1392,2,-1,0,unknown,1,2023-05-20
31,blue-collar,single,primary,0,216,1,0,unknown,565,1,-1,0,unknown,1,2023-05-21
34,blue-collar,married,secondary,0,1207,1,0,unknown,905,1,-1,0,unknown,1,2023-05-21
32,technician,married,secondary,0,791,1,0,unknown,783,2,-1,0,unknown,1,2023-05-21
36,management,married,tertiary,0,849,1,1,unknown,958,2,-1,0,unknown,1,2023-05-21
30,blue-collar,single,secondary,1,239,1,0,unknown,412,1,-1,0,unknown,1,2023-05-21
37,technician,single,secondary,0,1211,1,0,unknown,795,1,-1,0,unknown,1,2023-05-21
36,blue-collar,married,primary,0,599,1,0,unknown,649,2,-1,0,unknown,1,2023-05-21
31,management,single,tertiary,0,825,1,0,unknown,506,2,-1,0,unknown,1,2023-05-21
